Scam_ID,Target_Industry,Attack_Method,Deepfake_Type,Loss_Amount_USD,Detection_Time_Hours,Detection_Tool,Geographic_Origin,Payload_Type,Employee_Role_Targeted,Prevention_Measures,Legal_Action_Taken
SC-1001,Tech,Synthetic ID,Video,58327,9.9,AI Scanner,North Korea,Urgent Wire Request,CFO,None,No
SC-1002,Tech,CEO Fraud,Audio,360224,0.4,Internal Audit,Iran,Phishing Link,HR,None,Lawsuit Pending
SC-1003,Retail,Voice Cloning,Video,291493,6.8,Victim Report,Russia,Fake Credentials,HR,AI Monitoring,Yes (Arrest)
SC-1004,Banking,Fake Video Call,Audio,444017,13.3,AI Scanner,Nigeria,Fake Credentials,IT Admin,Training,Yes (Arrest)
SC-1005,Retail,CEO Fraud,Video,18117,16.2,Internal Audit,Nigeria,Fake Credentials,HR,AI Monitoring,No
SC-1006,Government,Synthetic ID,Hybrid,365332,21.5,Victim Report,China,Urgent Wire Request,IT Admin,AI Monitoring,Lawsuit Pending
SC-1007,Banking,CEO Fraud,Hybrid,414678,9.8,AI Scanner,Russia,Fake Invoice,HR,2FA,Yes (Arrest)
SC-1008,Tech,CEO Fraud,Video,72326,21.3,Internal Audit,Russia,Fake Credentials,IT Admin,2FA,No
SC-1009,Healthcare,CEO Fraud,Audio,179191,18.7,Victim Report,North Korea,Urgent Wire Request,CFO,Training,Yes (Arrest)
SC-1010,Banking,Synthetic ID,Audio,227966,0.3,AI Scanner,China,Fake Invoice,HR,Training,Yes (Arrest)
SC-1011,Healthcare,CEO Fraud,Video,470817,7.6,AI Scanner,Nigeria,Phishing Link,CFO,Training,Lawsuit Pending
SC-1012,Government,CEO Fraud,Video,419301,19.4,Victim Report,China,Fake Invoice,IT Admin,2FA,Lawsuit Pending
SC-1013,Banking,Synthetic ID,Video,168449,12.7,Victim Report,Nigeria,Fake Invoice,CFO,AI Monitoring,Yes (Arrest)
SC-1014,Healthcare,CEO Fraud,Audio,309363,3.0,Victim Report,North Korea,Phishing Link,Customer Support,2FA,Lawsuit Pending
SC-1015,Government,CEO Fraud,Video,5664,21.0,AI Scanner,Iran,Fake Invoice,HR,Training,Lawsuit Pending
SC-1016,Tech,Fake Video Call,Video,76694,9.9,Human Review,Nigeria,Fake Invoice,Customer Support,AI Monitoring,No
SC-1017,Tech,Synthetic ID,Video,25217,21.7,Human Review,Nigeria,Fake Credentials,Customer Support,None,Lawsuit Pending
SC-1018,Tech,Synthetic ID,Image,424860,5.8,Human Review,North Korea,Fake Invoice,CFO,None,Yes (Arrest)
SC-1019,Banking,Voice Cloning,Audio,357705,16.9,Human Review,Iran,Urgent Wire Request,Customer Support,Training,Yes (Arrest)
SC-1020,Retail,Fake Video Call,Image,383265,8.3,Human Review,Iran,Phishing Link,CFO,None,No
SC-1021,Banking,Synthetic ID,Audio,257587,16.2,Human Review,Nigeria,Phishing Link,HR,Training,Lawsuit Pending
SC-1022,Banking,Synthetic ID,Image,114404,2.1,Human Review,North Korea,Fake Invoice,HR,2FA,Lawsuit Pending
SC-1023,Banking,Fake Video Call,Image,309493,0.3,Victim Report,North Korea,Urgent Wire Request,HR,AI Monitoring,No
SC-1024,Tech,CEO Fraud,Video,330730,14.2,Victim Report,China,Fake Credentials,IT Admin,2FA,Lawsuit Pending
SC-1025,Healthcare,Fake Video Call,Video,62464,10.0,Internal Audit,North Korea,Fake Credentials,Customer Support,AI Monitoring,No
SC-1026,Banking,CEO Fraud,Hybrid,255415,1.2,AI Scanner,North Korea,Fake Invoice,CFO,AI Monitoring,Yes (Arrest)
SC-1027,Retail,Synthetic ID,Audio,333052,23.7,AI Scanner,Iran,Urgent Wire Request,HR,2FA,Lawsuit Pending
SC-1028,Tech,CEO Fraud,Hybrid,329834,20.3,AI Scanner,North Korea,Fake Invoice,HR,AI Monitoring,Lawsuit Pending
SC-1029,Tech,Synthetic ID,Image,319,10.6,Internal Audit,North Korea,Urgent Wire Request,IT Admin,AI Monitoring,No
SC-1030,Tech,CEO Fraud,Hybrid,424431,16.8,Human Review,Nigeria,Urgent Wire Request,IT Admin,2FA,Lawsuit Pending
SC-1031,Healthcare,Voice Cloning,Hybrid,284534,17.9,AI Scanner,Nigeria,Urgent Wire Request,HR,2FA,No
SC-1032,Retail,Voice Cloning,Audio,317577,10.4,Victim Report,Nigeria,Urgent Wire Request,IT Admin,2FA,Yes (Arrest)
SC-1033,Retail,CEO Fraud,Image,182501,8.0,Human Review,Nigeria,Fake Credentials,CFO,None,No
SC-1034,Banking,CEO Fraud,Hybrid,79093,13.1,Human Review,Iran,Fake Invoice,IT Admin,None,Lawsuit Pending
SC-1035,Healthcare,Voice Cloning,Video,412669,10.1,Victim Report,China,Fake Invoice,IT Admin,None,No
SC-1036,Tech,CEO Fraud,Hybrid,19652,2.2,AI Scanner,China,Fake Credentials,HR,AI Monitoring,Yes (Arrest)
SC-1037,Tech,Fake Video Call,Hybrid,129362,5.6,Human Review,Iran,Fake Credentials,Customer Support,None,No
SC-1038,Healthcare,Fake Video Call,Audio,318228,7.0,Internal Audit,North Korea,Phishing Link,Customer Support,None,No
